x,y,cell_type,cell_class,anatomical_layer,mucosal_pseudospace
2804.9722888888887,193.24507814814817,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2667.3537018691586,326.99400962616824,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2646.1825166666667,343.5385833333333,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2602.6143844262297,397.39878311475417,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2796.026327777777,204.2728105555556,SMC (Tgfb3_hi),Smooth Muscle,Myenteric Plexus,-1.0
2672.974361956521,321.41686358695654,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2812.2627602094244,183.5111731413613,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2678.721764814815,317.1927418518519,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2743.7772866666664,252.62922986666663,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2783.5594483333334,221.07302241666667,Glia1 (Slc18a2+),ENS,Myenteric Plexus,-1.0
2711.9140857142856,287.9350279120879,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2753.6624479452053,246.0091904109589,Pericyte,Fibroblast,Muscularis Propria,-1.0
2799.5290885964914,195.8627890350877,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2703.845715873016,294.02782142857143,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2594.0521211009177,403.4030182568808,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2516.014805,482.19822875000006,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2716.46288,281.29197844444445,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2554.8303227272727,447.7395916666666,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2492.790612903226,504.37236999999993,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2685.277384848485,311.9449024242424,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2750.983661682243,254.16889813084117,Glia2 (Gfra3+),ENS,Muscularis Propria,-1.0
2552.4335851351348,447.04521783783787,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2600.0729,397.72134972222216,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2727.8014193181816,272.51408465909094,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2464.9595981818184,536.1651983636364,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2585.727444736842,414.9635017105264,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2547.8922545454543,457.8687978787879,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2507.723985542169,495.21619457831326,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2607.9703851351355,391.47286905405406,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2498.387673529412,506.9314547058824,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2817.7918441860465,187.15865348837207,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2805.628294193548,198.49754941935484,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2711.440030434783,296.4224665217391,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2831.923134319527,174.58820071005917,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2640.4624731343283,368.4976392537313,SMC (circular),Smooth Muscle,Submucosa,-1.0
2492.488855555556,513.4827517777777,FB3 (muscularis externa),Fibroblast,Muscularis Propria,-1.0
2678.262245454546,332.73716393939395,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2555.927575862069,455.2990322413794,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2824.3373144927527,186.99867115942024,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2650.7417859756097,360.71265042682927,SMC (circular),Smooth Muscle,Submucosa,-1.0
2566.917787037037,436.5806599074075,SMC (circular),Smooth Muscle,Submucosa,-1.0
2825.1355311475413,180.8371110655737,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2492.164466666667,520.5655033333333,Glia2 (Gfra3+),ENS,Muscularis Propria,-1.0
2475.79172,534.798119090909,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2818.423955555555,192.27880841269845,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2687.538915789474,326.73755,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2844.0587075949365,170.97349797468354,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2807.080829761904,216.56562259523804,"Neuron4a (sensory, a)",ENS,Myenteric Plexus,-1.0
2534.6984980769225,475.4013927884616,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2665.490008163265,350.46328877551014,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2625.0483,391.1719357983193,Macrophage (Itgax+),Immune,Submucosa,-1.0
2635.1824914893614,382.7076631914894,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2482.680245945946,536.0385809459459,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2837.444876190476,176.83736452380953,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2643.9247370370376,374.7591362962964,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2792.22004,226.51122578947363,Neuron1 (excitatory motor),ENS,Myenteric Plexus,-1.0
2770.1090884615382,243.6954034615385,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2529.860207017544,483.9406465789474,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2482.951724193549,529.4160354838709,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2622.215158035714,397.5428257142857,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2676.45142,339.548219,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2676.2981521739134,343.9053908695652,SMC (longitudinal),Smooth Muscle,Submucosa,-1.0
2525.493493965517,493.67686206896553,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2703.035874129353,315.11990895522393,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2749.5647146067413,278.42885865168535,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2777.115443636363,250.6310867272728,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2515.0250493670887,508.7741944303797,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2847.650685714286,182.28988102040813,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2722.710525333334,303.6134275333334,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2711.718225,310.47995961538464,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2473.493906382979,553.809399787234,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2847.805046875,178.58268265625003,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2622.9372966666665,404.56090166666667,Monocyte,Immune,Submucosa,-1.0
